connections,test_acc,precision,recall,f1
"([[1, 8], [1, 11], [4, 10], [5, 7], [9, 9]], [[1, 9], [3, 5], [9, 1]], [[0, 1], [1, 3], [2, 9]])",0.9667,0.9667,0.9667,0.9649
"([[4, 7], [4, 11], [5, 7], [9, 6], [9, 9]], [[1, 8], [1, 9], [3, 4]], [[0, 1], [1, 3], [1, 9]])",0.9667,0.9667,0.9667,0.9649
"([[1, 8], [4, 8], [6, 8], [7, 8], [8, 9]], [[1, 8], [1, 9], [9, 4]], [[0, 1], [2, 5], [2, 9]])",0.9333,0.9296,0.9296,0.9296
"([[1, 8], [1, 10], [5, 8], [5, 10], [8, 6]], [[7, 1], [7, 5], [8, 0]], [[0, 1], [0, 8], [1, 7]])",0.6667,0.6333,0.5079,0.545
"([[2, 11], [4, 8], [4, 11], [9, 6], [9, 9]], [[6, 8], [6, 9], [9, 4]], [[0, 6], [1, 3], [2, 9]])",0.9667,0.9667,0.9667,0.9649
"([[1, 11], [4, 7], [5, 7], [6, 11], [9, 6]], [[1, 9], [5, 1], [5, 6]], [[0, 1], [1, 3], [2, 5]])",0.9333,0.9296,0.9296,0.9296
"([[4, 11], [5, 7], [5, 11], [9, 6], [9, 9]], [[1, 9], [3, 5], [9, 4]], [[0, 1], [1, 3], [2, 9]])",0.9667,0.9667,0.9667,0.9649
"([[0, 9], [4, 8], [4, 10], [9, 6], [9, 9]], [[1, 0], [1, 9], [3, 4]], [[0, 1], [0, 2], [1, 3]])",0.9667,0.9667,0.9667,0.9649
"([[1, 8], [4, 8], [4, 10], [5, 10], [8, 6]], [[1, 8], [3, 4], [9, 1]], [[0, 1], [1, 3], [2, 9]])",0.9667,0.9667,0.9667,0.9649
"([[2, 8], [2, 11], [8, 9], [9, 6], [9, 9]], [[1, 9], [9, 1], [9, 2]], [[0, 1], [1, 3], [2, 9]])",0.9667,0.9667,0.9667,0.9649
"([[3, 6], [3, 9], [4, 10], [9, 8], [9, 11]], [[0, 9], [1, 3], [3, 4]], [[0, 1], [1, 3], [2, 0]])",0.9667,0.9583,0.9744,0.9644
"([[1, 8], [1, 11], [5, 8], [5, 11], [6, 9]], [[1, 6], [7, 1], [7, 5]], [[0, 1], [1, 3], [2, 7]])",0.9667,0.9583,0.9744,0.9644
"([[3, 6], [3, 9], [4, 7], [8, 8], [8, 11]], [[0, 8], [1, 3], [9, 4]], [[0, 1], [1, 9], [2, 0]])",0.9333,0.9306,0.9306,0.9306
"([[1, 11], [3, 6], [4, 7], [4, 10], [9, 11]], [[0, 3], [3, 1], [8, 4]], [[0, 0], [1, 8], [2, 3]])",0.9667,0.9722,0.963,0.9659
"([[1, 8], [5, 8], [5, 11], [8, 6], [8, 9]], [[1, 8], [8, 5], [8, 9]], [[0, 1], [1, 3], [2, 8]])",0.9667,0.9583,0.9744,0.9644
"([[1, 8], [1, 11], [3, 6], [3, 9], [4, 11]], [[0, 3], [2, 1], [3, 1]], [[0, 0], [1, 2], [2, 3]])",0.9667,0.9583,0.9744,0.9644
"([[2, 8], [2, 11], [4, 7], [4, 10], [8, 11]], [[0, 2], [2, 4], [9, 4]], [[1, 2], [1, 9], [2, 0]])",0.9667,0.9583,0.9744,0.9644
"([[1, 11], [3, 6], [3, 9], [4, 7], [5, 8]], [[1, 3], [7, 5], [9, 4]], [[0, 1], [1, 9], [2, 7]])",0.9333,0.9306,0.9306,0.9306
"([[0, 10], [3, 6], [3, 9], [4, 7], [9, 9]], [[0, 3], [2, 0], [2, 4]], [[0, 0], [1, 2], [2, 3]])",0.9667,0.9583,0.9744,0.9644
"([[2, 11], [3, 6], [3, 9], [8, 11], [9, 7]], [[0, 8], [1, 3], [9, 9]], [[0, 1], [1, 9], [2, 0]])",0.9667,0.9583,0.9744,0.9644
