connections,test_acc,precision,recall,f1
"([[1, 6], [3, 7], [3, 10], [6, 6], [6, 9]], [[0, 1], [0, 6], [1, 3]])",0.9667,0.9697,0.9722,0.9696
"([[1, 6], [1, 9], [2, 8], [2, 11], [9, 7]], [[0, 1], [0, 9], [2, 2]])",0.9667,0.9697,0.9722,0.9696
"([[2, 11], [5, 6], [5, 9], [7, 7], [7, 10]], [[0, 5], [1, 7], [2, 2]])",0.9667,0.9697,0.9722,0.9696
"([[2, 8], [4, 7], [4, 10], [5, 6], [5, 9]], [[0, 5], [1, 4], [2, 2]])",0.9667,0.9697,0.9722,0.9696
"([[1, 6], [1, 9], [2, 8], [4, 7], [4, 10]], [[0, 1], [1, 4], [2, 2]])",0.9667,0.9697,0.9722,0.9696
"([[7, 6], [7, 9], [8, 9], [9, 7], [9, 10]], [[0, 7], [0, 8], [1, 9]])",0.9667,0.9697,0.9722,0.9696
"([[2, 11], [4, 7], [4, 10], [5, 6], [5, 9]], [[0, 5], [1, 4], [2, 2]])",0.9667,0.9697,0.9722,0.9696
"([[2, 8], [4, 7], [4, 10], [5, 6], [5, 9]], [[0, 5], [1, 4], [2, 2]])",0.9667,0.9697,0.9722,0.9696
"([[0, 6], [0, 9], [2, 8], [4, 7], [4, 10]], [[0, 0], [1, 4], [2, 2]])",0.9667,0.9697,0.9722,0.9696
"([[0, 6], [0, 9], [2, 11], [7, 7], [7, 10]], [[0, 0], [1, 7], [2, 2]])",0.9667,0.9697,0.9722,0.9696
