connections,test_acc,precision,recall,f1
"([[2, 7], [3, 2], [3, 7], [3, 11], [4, 7]], [[0, 2], [1, 2], [1, 4]], [[0, 8]])",0.8667,0.8963,0.8834,0.8857
"([[1, 7], [2, 7], [3, 2], [3, 11], [4, 7]], [[0, 3], [1, 2], [1, 4]], [[0, 8]])",0.8667,0.8963,0.8834,0.8857
"([[4, 7], [5, 7], [8, 7], [8, 9], [8, 11]], [[0, 5], [0, 8], [1, 4]], [[2, 6]])",0.8667,0.8963,0.8834,0.8857
"([[0, 7], [2, 7], [4, 7], [8, 7], [8, 11]], [[0, 1], [1, 2], [1, 4]], [[2, 9]])",0.8667,0.8963,0.8834,0.8857
"([[1, 5], [1, 8], [2, 7], [4, 10], [5, 7]], [[0, 1], [1, 2], [1, 4]], [[2, 9]])",0.9667,0.963,0.9792,0.9696
"([[1, 8], [2, 7], [4, 7], [5, 7], [9, 7]], [[1, 2], [1, 4], [2, 9]], [[2, 9]])",0.9667,0.963,0.9792,0.9696
"([[2, 7], [2, 9], [4, 7], [5, 7], [8, 7]], [[0, 2], [0, 8], [1, 4]], [[2, 9]])",0.9667,0.963,0.9792,0.9696
"([[1, 6], [1, 9], [2, 7], [4, 7], [7, 7]], [[1, 2], [1, 4], [1, 7]], [[0, 8]])",0.8667,0.8963,0.8834,0.8857
"([[1, 8], [1, 9], [2, 7], [4, 7], [5, 7]], [[0, 5], [1, 2], [1, 4]], [[0, 11]])",0.8667,0.8963,0.8834,0.8857
"([[1, 5], [4, 7], [8, 2], [8, 7], [8, 8]], [[0, 8], [1, 4], [2, 1]], [[0, 8]])",0.8667,0.8963,0.8834,0.8857
