connections,test_acc,precision,recall,f1
"([[2, 33], [4, 25], [4, 34], [4, 106]], [[0, 2], [0, 4], [1, 4]])",0.8124,0.6789,0.7626,0.7022
"([[2, 33], [4, 17], [4, 21], [4, 25]], [[0, 4], [1, 2], [1, 4]])",0.796,0.6181,0.7615,0.6352
"([[2, 33], [4, 17], [4, 21], [4, 25]], [[0, 2], [0, 4], [1, 4]])",0.796,0.6181,0.7615,0.6352
"([[2, 33], [4, 25], [4, 37], [4, 106]], [[0, 2], [0, 4], [1, 4]])",0.8133,0.6805,0.764,0.704
"([[2, 33], [4, 17], [4, 21], [4, 25]], [[0, 2], [0, 4], [1, 4]])",0.796,0.6181,0.7615,0.6352
"([[4, 25], [4, 34], [4, 37], [7, 106]], [[0, 4], [0, 7], [1, 4]])",0.8122,0.675,0.7646,0.6989
"([[2, 33], [4, 21], [4, 25], [4, 37]], [[0, 2], [0, 4], [1, 4]])",0.792,0.6081,0.7562,0.6221
