connections,test_acc,precision,recall,f1
"([[2, 7], [7, 9], [7, 11], [9, 6], [9, 10]], [[0, 7], [0, 9], [1, 2]])",0.9333,0.9333,0.9394,0.9296
"([[5, 6], [5, 7], [5, 11], [8, 9], [9, 9]], [[0, 8], [0, 9], [2, 5]])",1.0,1.0,1.0,1.0
"([[0, 7], [2, 7], [4, 7], [8, 9], [9, 6]], [[0, 8], [1, 2], [1, 4]])",0.9333,0.9333,0.9394,0.9296
"([[3, 6], [3, 9], [8, 9], [9, 6], [9, 9]], [[0, 3], [0, 8], [0, 9]])",0.7,0.6667,0.5088,0.5632
"([[3, 9], [8, 6], [8, 9], [9, 6], [9, 9]], [[0, 3], [0, 8], [0, 9]])",0.7,0.6667,0.5088,0.5632
"([[0, 7], [0, 10], [7, 9], [8, 10], [9, 6]], [[0, 7], [0, 8], [1, 0]])",0.9667,0.9697,0.9697,0.9683
"([[2, 7], [2, 10], [8, 6], [8, 9], [9, 6]], [[0, 8], [0, 9], [1, 2]])",1.0,1.0,1.0,1.0
"([[2, 7], [6, 11], [8, 6], [8, 9], [9, 6]], [[0, 8], [0, 9], [2, 6]])",1.0,1.0,1.0,1.0
"([[0, 7], [2, 7], [5, 7], [8, 9], [9, 6]], [[0, 8], [0, 9], [2, 5]])",0.9333,0.9333,0.9394,0.9296
"([[2, 7], [8, 6], [8, 9], [9, 6], [9, 9]], [[0, 8], [0, 9], [1, 2]])",0.9333,0.9333,0.9394,0.9296
